Nouvelle commune;Ancienne commune;Date fusion;Offset Parcelle
5928;5928;01.01.2005;0
5928;5901;01.01.2005;400
5830;5830;01.07.2006;0
5830;5823;01.07.2006;500
5830;5825;01.07.2006;1000
5451;5451;01.07.2006;0
5451;5457;01.07.2006;4000
5913;5913;01.01.2008;0
5913;5920;01.01.2008;500
5913;5917;01.01.2008;1000
5511;5511;01.01.2009;0
5511;5526;01.01.2009;1000
5613;5602;01.07.2011;0
5613;5603;01.07.2011;2000
5613;5605;01.07.2011;4000
5613;5608;01.07.2011;7000
5613;5612;01.07.2011;9000
5634;5634;01.07.2011;0
5634;5630;01.07.2011;1000
5634;5641;01.07.2011;2000
5634;5647;01.07.2011;3000
5571;5558;01.07.2011;1000
5571;5567;01.07.2011;2000
5571;5569;01.07.2011;3000
5571;5570;01.07.2011;0
5464;5452;01.07.2011;0
5464;5453;01.07.2011;2000
5464;5455;01.07.2011;3000
5464;5459;01.07.2011;5000
5464;5460;01.07.2011;7000
5464;5462;01.07.2011;8000
5464;5463;01.07.2011;9000
5422;5422;01.07.2011;0
5422;5433;01.07.2011;2000
5541;5519;01.07.2011;1000
5541;5524;01.07.2011;0
5541;5525;01.07.2011;2000
5540;5517;01.07.2011;1000
5540;5528;01.07.2011;2000
5540;5532;01.07.2011;0
5540;5536;01.07.2011;3000
5938;5938;01.07.2011;0
5938;5918;01.07.2011;6000
5804;5677;01.07.2011;2000
5804;5796;01.07.2011;3000
5804;5687;01.07.2011;0
5804;5691;01.07.2011;5000
5804;5538;01.07.2011;6000
5451;5451;01.07.2011;0
5451;5461;01.07.2011;5000
5675;5675;01.07.2011;0
5675;5681;01.07.2011;11000
5831;5811;01.07.2011;1000
5831;5814;01.07.2011;2000
5831;5815;01.07.2011;3000
5831;5818;01.07.2011;0
5831;5820;01.07.2011;4000
5831;5824;01.07.2011;5000
5831;5826;01.07.2011;6000
5831;5829;01.07.2011;7000
5805;5781;01.01.2012;2000
5805;5783;01.01.2012;3000
5805;5784;01.01.2012;5000
5805;5787;01.01.2012;6000
5805;5800;01.01.2012;8000
5805;5801;01.01.2012;10000
5805;5793;01.01.2012;11000
5805;5794;01.01.2012;13000
5805;5795;01.01.2012;0
5805;5802;01.01.2012;15000
5799;5799;01.01.2012;0
5799;5786;01.01.2012;2000
5913;5913;01.01.2012;0
5913;5927;01.01.2012;2000
5905;5905;01.01.2012;0
5905;5916;01.01.2012;1000
5905;5936;01.01.2012;2000
5693;5906;01.01.2013;2000
5693;5664;01.01.2013;3000
5693;5667;01.01.2013;4000
5693;5670;01.01.2013;5000
5693;5676;01.01.2013;6000
5693;5679;01.01.2013;7000
5693;5682;01.01.2013;8000
5693;5685;01.01.2013;9000
5693;5689;01.01.2013;0
5806;5782;01.07.2016;0
5806;5789;01.07.2016;2000
5806;5791;01.07.2016;4000
5749;5749;01.01.2017;0
5749;5751;01.01.2017;3000
5749;5915;01.01.2017;4000
5675;5675;01.01.2017;0
5675;5662;01.01.2017;12000
5675;5666;01.01.2017;13000
5675;5668;01.01.2017;15000
5675;5672;01.01.2017;16000
5675;5686;01.01.2017;17000
