# Fichier généré (à part cette partie de commentaires...) à partir de la requête SQL suivante
#
# SELECT ENT.NUMERO AS ENT_ID, ENT.NUMERO_ENTREPRISE AS ENT_CANTONAL_ID, ETB.NUMERO AS ETB_PRN_ID, ETB.NUMERO_ETABLISSEMENT AS ETB_PRN_CANTONAL_ID
# FROM UNIREG.TIERS ENT
# JOIN UNIREG.RAPPORT_ENTRE_TIERS AE ON AE.ANNULATION_DATE IS NULL AND AE.RAPPORT_ENTRE_TIERS_TYPE='ActiviteEconomique' AND AE.ETB_PRINCIPAL=1 AND AE.TIERS_SUJET_ID=ENT.NUMERO
# JOIN UNIREG.TIERS ETB ON AE.TIERS_OBJET_ID=ETB.NUMERO
# WHERE ENT.NUMERO < 100000
# ORDER BY ENT.NUMERO;
#
ENT_ID;ENT_CANTONAL_ID;ETB_PRN_ID;ETB_PRN_CANTONAL_ID
1;101553985;3000004;101073632
2;101623664;3000003;100998635
3;101437397;3000001;101076542
4;;3000002;
5;101494505;3000006;101024629
6;101496921;3000005;101039501
7;101459845;3000008;101013264
8;101590916;3000007;101011573
9;101635506;3000010;101068675
10;101582738;3000011;100982731
11;;3000035;
12;101599042;3000015;101003192
13;101543286;3000017;101047576
14;;3000022;
15;;3000019;
16;101595052;3000024;101080783
17;101592112;3000023;101041744
18;101593372;3000102;101027430
19;;3000031;
20;101593970;3000034;101053989
21;;3000036;
22;101577679;3000051;101011003
23;101524542;3000154;101064482
24;;3000079;
25;101512982;3000124;101053722
26;;3000155;
27;101514525;3000150;101077139
28;;3000152;
29;101541680;3000157;101040872
30;101595730;3000158;100995577
31;101435703;3000159;101071482
32;;3000161;
33;;3000160;
34;101517061;3000166;101075418
35;;3000126;
36;101451640;3000173;101077119
37;;3000165;
38;101452797;3000169;101062069
39;;3000171;
40;;3000172;
41;101499807;3000176;101064893
42;101572029;3000177;100991009
43;101671015;3000187;101391366
44;101593786;3000180;100986031
45;101671255;3000189;101391634
46;101556393;3000238;101015889
47;101665649;3000186;101008942
48;101471188;3000216;101064445
49;101631452;3000193;101063136
50;101600608;3000191;101032052
51;101572175;3000195;101076640
52;101476540;3000163;101067647
54;101585912;3000197;101071116
55;;3000198;
56;101606876;3000201;101075771
57;;3000204;
58;;3000206;
59;;3000208;
60;101523845;3000210;101046742
61;101602620;3000214;101034023
62;101521637;3000223;101026559
63;101560737;3000220;101028298
64;101582644;3000226;101011041
65;101595738;3000266;101074670
66;101446065;3000231;101062298
67;;3000270;
68;101502537;3000277;100996745
69;;3000257;
70;;3000259;
71;101444129;3000261;101009940
72;101456655;3000269;101070556
73;101449061;3000317;101028495
74;;3000272;
75;101455521;3000283;101029786
76;101437505;3000286;101062474
77;101481183;3000288;100983509
