;;N°;;;Type;Date;Date;;;;;;;;;;
N° mandant;Nom court mandant;Mandataire;Nom court mandataire;PM/PP;mandat;attribution;résiliation;Motif attribution mandat;Nom contact chez le mandataire;Prénom contact;Téléfon contact;Fax contact;N° CCP;N° compte bancaire;IBAN;BIC SWIFT;Nom institution financière
-----------;------------------------------;-----------;------------------------------;-----;------;-----------;-----------;----------------------------------------;------------------------------;--------------------;----------------;----------------;---------------;--------------------;----------------------------------------;------------;--------------------------------------------------
208;MONT OR B SI;15951;BROLLIET;ENT;G;01.01.2015;;;;;;;;;;;
237;CLAMOGNE;19963;MA FIDUCIA;ENT;G;01.01.2012;31.12.2014;;;;;;;;;;
237;CLAMOGNE;73498;DFG FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
328;FRANCOIS;19573;FIDUCIAIRE VERMOT;ENT;G;01.01.2014;31.12.2014;;;;021 864'40'21;;;;;;
379;CUENOUD CHARLES;6071;VELEDES FIDUCIAIRE ANCIEN;ETA;G;27.02.1996;31.10.2015;;;;021 323'67'83;021 323'67'73;;;-;-;-
379;CUENOUD CHARLES;35201;FIDUCIAIRE VELEDES LAUSANNE;ENT;G;01.11.2015;;;;;;;;;;;
395;NEW PARADISE;51950;FCF CONSULTING;ENT;G;01.01.2015;;;;;;;;;;;
479;VISA VEHICULES IMPORT;51599;FIDUCIAIRE FAVRE REVISION;ENT;G;01.01.2015;;;;;;;;;;;
566;REALCO;2054;FIDUCIAIRE ROGER METRY;ENT;G;01.01.2015;;;;;;;;;;;
817;AUSA DIFFUSION;42965;OPTIFISC CABINET FISCAL;ENT;G;01.01.2015;;;;;;;;;;;
855;ARTCADACHE;6071;VELEDES FIDUCIAIRE ANCIEN;ETA;G;27.02.1996;30.09.2002;;;;021 323'67'83;021 323'67'73;;;-;-;-
855;ARTCADACHE;35201;FIDUCIAIRE VELEDES LAUSANNE;ENT;G;01.10.2002;;;;;;;;;;;
889;REACTOLAB;2049;FIDUCIA REVISION;ENT;G;01.01.1999;31.12.2014;;;;021 695'22'99;;;;-;-;-
889;REACTOLAB;583;FIDUCIAIRE AVONDO;ENT;G;01.01.2015;;;;;;;;;;;
1301;AIGREFEUILLE A;14621;FIDUCIAIRE SAUGY;ENT;G;01.01.2015;;;;;;;;;;;
1304;AIGREFEUILLE B;14621;FIDUCIAIRE SAUGY;ENT;G;01.01.2015;;;;;;;;;;;
1420;AMSTEIN & WALTHERT LAUSANNE;11071;BALMER ETIENNE ZURICH;ENT;G;01.01.2014;;;;;;;;;;;
1461;MAHCOSTAR HOLDING;64012;FIDUCIARIA MEGA;ENT;G;01.01.2015;;;;;;;;;;;
1563;PARKING HOPITAUX;17481;BDO EPALINGES;ETA;G;01.01.2015;;;;;;;;;;;
1569;FAUCON MARTEREY LANGALLERIE F;14621;FIDUCIAIRE SAUGY;ENT;G;01.01.2015;;;;;;;;;;;
1656;GRANGETTE A;37550;GALLAND & CIE;ENT;G;01.01.2015;;;;;;;;;;;
1664;GUILDE VIN;1108;FIDUCIAIRE INTERMANDAT;ENT;G;01.01.2005;31.12.2014;;;;021 340'69'10;;;;;;
1695;LEVANTINE IMMOBILIERE;15951;BROLLIET;ENT;G;01.01.2015;;;;;;;;;;;
1709;LAURIER ROSE A;14621;FIDUCIAIRE SAUGY;ENT;G;01.01.2015;;;;;;;;;;;
1713;LAURIER ROSE B;14621;FIDUCIAIRE SAUGY;ENT;G;01.01.2015;;;;;;;;;;;
1876;ROCHEMONT B;15951;BROLLIET;ENT;G;01.01.2015;;;;;;;;;;;
1902;RUMINE LUCINGE A;14621;FIDUCIAIRE SAUGY;ENT;G;01.01.2015;;;;;;;;;;;
1904;RUMINE LUCINGE B;14621;FIDUCIAIRE SAUGY;ENT;G;01.01.2015;;;;;;;;;;;
1915;PFEIFER TAPIS SERVICE;56724;FIDUCIAIRE EVOLUTION;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
1975;PFISTER ARCHITECTURES;1939;AUDICT FIDUCIAIRE;ENT;G;01.01.2009;31.12.2014;;;;021 721'14'00;;;;;;
2006;SI MANUFACTURE REUGE;1108;FIDUCIAIRE INTERMANDAT;ENT;G;01.01.2015;;;;;;;;;;;
2036;CF & C FINANCE SUISSE;20665;GROUPE FIDEXPERT;ETA;G;05.04.2012;31.12.2014;;;;021 651'20'45;;;;;;
2036;CF & C FINANCE SUISSE;59874;CFD CABINET FIDUCIAIRE DAYER;ENT;G;01.01.2015;;;;;;;;;;;
2047;FIDUCIAIRE LAMBELET FIDAL;22336;FIDUCIAIRE LAMBELET FIDAL;ETA;G;01.01.2015;;;;;;;;;;;
2067;COEUR SAVEURS;9052;SBC FIDUCIAIRE;ETA;G;01.01.2012;31.12.2014;;;;021 721'78'11;;;;;;
2080;BCD DESIGN;41511;FIDUCIAIRE FIDUSCHWAB;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
2380;EUBAT;27297;BMT FIDUCIAIRE;ENT;G;01.01.2010;31.12.2014;;;;021 626'19'62;;;;;;
2390;AFA SC SOCIETE COOPERATIVE;13224;RV CONSULTING VESY;ETA;G;01.01.2015;;;;;;;;;;;
2492;RUCH CLIMAT SERVICE;1499;Armand Vuichard;ETA;G;01.01.2015;;;;;;;;;;;
2494;ABBAYE SALAZ;32965;NOFIVAL VAUD;ENT;G;01.01.2015;;;;;;;;;;;
