# Extrait de la production à l'aide de la requête suivante :
#	SELECT TYPE_ENTITE, ID_REGPM, ID_UNIREG FROM UNIREG.MIGRATION_PM_MAPPING WHERE TYPE_ENTITE != 'ENTREPRISE'
#
TYPE_ENTITE;ID_REGPM;ID_UNIREG
ETABLISSEMENT;1;3000000
INDIVIDU;284138;10217153
ETABLISSEMENT;10405;3000014
INDIVIDU;388178;99503004
ETABLISSEMENT;18641;3000185
ETABLISSEMENT;3747;3000182
ETABLISSEMENT;3748;3000183
ETABLISSEMENT;3033;3000178
ETABLISSEMENT;9757;3000184
INDIVIDU;269593;10208141
ETABLISSEMENT;4;3000192
INDIVIDU;606983;10404178
ETABLISSEMENT;6201;3000200
ETABLISSEMENT;3;3000212
INDIVIDU;501659;10340443
INDIVIDU;460920;10320673
ETABLISSEMENT;2576;3000273
ETABLISSEMENT;14913;3000302
ETABLISSEMENT;2579;3000274
ETABLISSEMENT;2580;3000282
ETABLISSEMENT;2581;3000284
ETABLISSEMENT;2582;3000287
ETABLISSEMENT;2583;3000291
ETABLISSEMENT;2584;3000295
ETABLISSEMENT;2585;3000298
ETABLISSEMENT;1285;3000297
ETABLISSEMENT;5319;3000305
ETABLISSEMENT;5320;3000306
ETABLISSEMENT;5321;3000307
ETABLISSEMENT;5322;3000308
ETABLISSEMENT;5323;3000309
ETABLISSEMENT;5324;3000310
ETABLISSEMENT;5325;3000311
ETABLISSEMENT;5326;3000312
ETABLISSEMENT;5327;3000313
ETABLISSEMENT;19055;3000316
ETABLISSEMENT;5328;3000314
ETABLISSEMENT;5329;3000315
ETABLISSEMENT;508;3000293
ETABLISSEMENT;477;3000292
ETABLISSEMENT;2303;3000327
INDIVIDU;587161;10394215
ETABLISSEMENT;1025;3000344
ETABLISSEMENT;14050;3000350
INDIVIDU;452711;10316102
INDIVIDU;718035;10459387
ETABLISSEMENT;6864;3000360
ETABLISSEMENT;8804;3000347
ETABLISSEMENT;3845;3000340
ETABLISSEMENT;23685;3000358
ETABLISSEMENT;3846;3000343
ETABLISSEMENT;23654;3000354
ETABLISSEMENT;8;3000366
INDIVIDU;450954;10315234
ETABLISSEMENT;1560;3000375
INDIVIDU;399009;63600402
INDIVIDU;719410;10460287
ETABLISSEMENT;7;3000385
INDIVIDU;263395;86407804
INDIVIDU;258746;10201027
ETABLISSEMENT;3477;3000391
ETABLISSEMENT;3478;3000392
ETABLISSEMENT;3479;3000393
ETABLISSEMENT;3480;3000394
ETABLISSEMENT;3481;3000395
ETABLISSEMENT;3482;3000396
INDIVIDU;215887;44614903
ETABLISSEMENT;62;3000405
INDIVIDU;786225;10498066
ETABLISSEMENT;3330;3000411
ETABLISSEMENT;24378;3000412
ETABLISSEMENT;12;3000410
INDIVIDU;524477;68800905
INDIVIDU;259297;61808907
INDIVIDU;450724;10315478
INDIVIDU;451571;10315971
INDIVIDU;123081;10619948
INDIVIDU;451034;10110695
ETABLISSEMENT;22560;3000422
INDIVIDU;604419;10403577
INDIVIDU;196051;10164582
INDIVIDU;450870;10315563
INDIVIDU;450468;10315321
INDIVIDU;453349;10317021
INDIVIDU;617635;10408155
ETABLISSEMENT;456;3000461
INDIVIDU;729066;26204901
INDIVIDU;451819;10634637
INDIVIDU;450730;10315481
INDIVIDU;217063;10176830
INDIVIDU;216965;10176778
ETABLISSEMENT;3009;3000492
ETABLISSEMENT;207;3000500
ETABLISSEMENT;13134;3000512
ETABLISSEMENT;5192;3000523
ETABLISSEMENT;9473;3000525
ETABLISSEMENT;16518;3000527
ETABLISSEMENT;5656;3000521
ETABLISSEMENT;11131;3000526
ETABLISSEMENT;24204;3000528
ETABLISSEMENT;22336;3000551
INDIVIDU;264329;66018303
ETABLISSEMENT;16789;3000534
ETABLISSEMENT;16790;3000541
ETABLISSEMENT;16791;3000542
ETABLISSEMENT;16792;3000546
INDIVIDU;581512;10057356
ETABLISSEMENT;5826;3000577
ETABLISSEMENT;20665;3000591
INDIVIDU;460668;10320767
INDIVIDU;462172;10322258
INDIVIDU;461688;10321911
ETABLISSEMENT;5953;3000524
ETABLISSEMENT;7070;3000529
INDIVIDU;737769;10469997
INDIVIDU;796431;10504480
INDIVIDU;518417;10352285
INDIVIDU;194965;10163851
INDIVIDU;215316;10175811
INDIVIDU;158446;10141331
INDIVIDU;166462;55409603
INDIVIDU;214463;10175318
ETABLISSEMENT;13741;3000594
INDIVIDU;629583;10411617
ETABLISSEMENT;15122;3000602
ETABLISSEMENT;13688;3000601
INDIVIDU;475287;32503507
INDIVIDU;314438;32501503
INDIVIDU;811273;10513952
ETABLISSEMENT;8710;3000612
ETABLISSEMENT;15114;3000615
ETABLISSEMENT;23858;3000621
ETABLISSEMENT;5537;3000632
ETABLISSEMENT;6273;3000636
ETABLISSEMENT;5538;3000633
ETABLISSEMENT;5539;3000635
ETABLISSEMENT;3915;3000603
ETABLISSEMENT;3917;3000607
ETABLISSEMENT;3919;3000608
ETABLISSEMENT;3922;3000613
ETABLISSEMENT;3923;3000616
ETABLISSEMENT;3924;3000617
ETABLISSEMENT;3925;3000622
ETABLISSEMENT;3926;3000625
ETABLISSEMENT;3927;3000628
ETABLISSEMENT;3929;3000630
ETABLISSEMENT;3930;3000631
INDIVIDU;632787;99803208
ETABLISSEMENT;9952;3000643
ETABLISSEMENT;15121;3000651
ETABLISSEMENT;13618;3000645
ETABLISSEMENT;9653;3000640
ETABLISSEMENT;24;3000644
ETABLISSEMENT;26;3000648
ETABLISSEMENT;1741;3000650
ETABLISSEMENT;6492;3000659
ETABLISSEMENT;8735;3000663
ETABLISSEMENT;14410;3000661
INDIVIDU;583884;10391948
ETABLISSEMENT;16;3000697
ETABLISSEMENT;9;3000696
ETABLISSEMENT;11068;3000698
INDIVIDU;320371;68916807
INDIVIDU;611816;74503401
INDIVIDU;258599;32905602
INDIVIDU;394386;31808404
INDIVIDU;703151;10450435
ETABLISSEMENT;240;3000016
ETABLISSEMENT;15044;3000025
ETABLISSEMENT;23876;3000027
ETABLISSEMENT;27;3000009
ETABLISSEMENT;28;3000012
ETABLISSEMENT;13949;3000021
ETABLISSEMENT;24254;3000029
ETABLISSEMENT;13919;3000020
INDIVIDU;789595;10500058
ETABLISSEMENT;7300;3000065
ETABLISSEMENT;7239;3000063
ETABLISSEMENT;57;3000058
ETABLISSEMENT;7337;3000067
ETABLISSEMENT;11227;3000071
ETABLISSEMENT;5245;3000061
ETABLISSEMENT;1342;3000059
ETABLISSEMENT;7294;3000064
ETABLISSEMENT;14318;3000072
ETABLISSEMENT;129;3000068
ETABLISSEMENT;9025;3000098
ETABLISSEMENT;20929;3000111
ETABLISSEMENT;9026;3000100
ETABLISSEMENT;7779;3000083
ETABLISSEMENT;9027;3000103
ETABLISSEMENT;7652;3000082
ETABLISSEMENT;966;3000070
ETABLISSEMENT;6795;3000075
ETABLISSEMENT;7467;3000081
ETABLISSEMENT;6764;3000073
ETABLISSEMENT;6765;3000074
ETABLISSEMENT;6928;3000078
ETABLISSEMENT;8018;3000086
ETABLISSEMENT;7316;3000080
ETABLISSEMENT;85;3000062
ETABLISSEMENT;55;3000060
ETABLISSEMENT;6873;3000076
ETABLISSEMENT;9049;3000104
ETABLISSEMENT;22009;3000112
ETABLISSEMENT;22010;3000113
ETABLISSEMENT;8540;3000095
ETABLISSEMENT;12925;3000110
ETABLISSEMENT;11071;3000106
ETABLISSEMENT;12313;3000149
INDIVIDU;503161;10342726
INDIVIDU;734682;10468454
INDIVIDU;214479;10175328
INDIVIDU;417976;37102502
ETABLISSEMENT;17939;3000211
ETABLISSEMENT;12537;3000205
ETABLISSEMENT;8523;3000188
INDIVIDU;713936;10456896
ETABLISSEMENT;10464;3000234
ETABLISSEMENT;5156;3000218
