N° CTB;rue/police;NPA;Lieu
2146;Avenue Général-Guisan 48;1009;Pully
7854;Place de la Gare 5;1800;Vevey
7934;Avenue Villamont 19;1005;Lausanne Secteur de dist.
12685;Rue de la Gare 39;1820;Montreux
12687;Place Saint-François 5;1003;Lausanne Secteur de dist.
12688;Chemin du Village 4;1012;Lausanne
12693;Rue de Rive 45;1260;Nyon
12699;Route de la Fenette 3;1530;Payerne
12703;Rue du Collège 29;1260;Nyon
12709;Avenue des Boveresses 50;1010;Lausanne
12716;Avenue Louis- Ruchonnet 14;1003;Lausanne Secteur de dist.
12719;Chemin des Charmettes 7;1003;Lausanne Secteur de dist.
12745;Chemin de Bellerive 23;1007;Lausanne Secteur de dist.
12747;Chemin de la Redoute 14;1260;Nyon
12748;Avenue de Florimont 24;1006;Lausanne Secteur de dist.
12749;Place de la Riponne 5;1005;Lausanne Secteur de dist.
12858;Route de Sichoz 12;1814;La Tour-de-Peilz
12861;Rue de la Plaine 13;1400;Yverdon-les-Bains
12863;Rue de la Gare 45;1260;Nyon
12866;Chemin du Treyblanc 2;1006;Lausanne Secteur de dist.
12868;Grand Rue 81;1820;Montreux
12872;Avenue Viollier 8;1260;Nyon
12873;Impasse du Tilleul 10;1782;Formangueires
12874;Route de Lausanne 2;1260;Nyon
12882;Rue du Conseil 25;1800;Vevey
12960;Avenue de Rochettaz 20;1009;Pully
12997;Avenue Dickens 6;1006;Lausanne Secteur de dist.
13038;Rue du Grand-Chêne 8;1003;Lausanne Secteur de dist.
13049;Place Croix-Blanche ;1066;Epalinges
13095;Avenue de la Vogeaz 15;1110;Morges
13098;Grand-Rue 70;1110;Morges
13099;Rue Saint-Martin 28-30;1005;Lausanne Secteur de dist.
13100;Chemin du Viaduc 1;1008;Prilly
13101;Chemin de Fontenay 9;1007;Lausanne Secteur de dist.
13103;Avenue Eugène- Rambert 6;1005;Lausanne Secteur de dist.
13104;Place Saint-François 9;1003;Lausanne Secteur de dist.
13109;Rue de Genève 23;1003;Lausanne Secteur de dist.
13112;Passage Perdonnet 1;1005;Lausanne Secteur de dist.
13145;Promenade John-Berney 4;1180;Rolle
13148;Route du Reposoir 5-7;1260;Nyon
13149;Avenue d' Ouchy 3;1006;Lausanne Secteur de dist.
13152;Place Saint-François 12 bis;1003;Lausanne Secteur de dist.
13153;Chemin de Chamblandes 45;1009;Pully
13161;Rue de Lausanne 47;1020;Renens VD
13170;Chemin du Ravin 24;1012;Lausanne
13175;Chemin du Village 34 A;1012;Lausanne
13187;Rue de Lausanne 47;1020;Renens VD
13188;Rue de l' Industrie 35 bis;1030;Bussigny
13190;Route de la Cité ;1854;Leysin
13224;Chemin du Paradis 3;1807;Blonay
13228;Rue du Petit-Chêne 38;1003;Lausanne Secteur de dist.
13229;Place des Anciens-Fossés ;1814;La Tour-de-Peilz
13231;Avenue Louis- Vulliemin 4;1005;Lausanne Secteur de dist.
13233;Place du Marché 2;1260;Nyon
13234;Avenue de l' Elysée 4;1006;Lausanne Secteur de dist.
13235;Rue Caroline 11;1003;Lausanne Secteur de dist.
13237;Rue Bellefontaine 6;1003;Lausanne Secteur de dist.
13239;Chemin d' Eysins 28;1260;Nyon
13240;Chemin d' Eysins 28;1260;Nyon
13241;Avenue Général-Guisan 48;1009;Pully
13244;Chemin du Vieux-Canal 13;1950;Sion
13246;Rue de l' Aurore 3;1005;Lausanne Secteur de dist.
13247;Rue du Crêt-aux-Moines 20;1422;Grandson
13248;Monbijoustrasse 30;3011;Bern
13253;Avenue de Valmont 12;1010;Lausanne
13256;Bas du Rossé 13;1163;Etoy
13268;Route de la Chocolatière 26;1026;Echandens
13282;Avenue d' Ouchy 47;1006;Lausanne Secteur de dist.
13284;Chemin du Bois-Gentil 84;1018;Lausanne
13287;Rue Centrale 2;1450;Ste-Croix
13289;Avenue d' Ouchy 47;1006;Lausanne Secteur de dist.
13290;Chemin de la Vuachère 3b;1005;Lausanne Secteur de dist.
13291;Rue Saint-Martin 20;1003;Lausanne Secteur de dist.
13295;Rue Bellefontaine 18;1003;Lausanne Secteur de dist.
13296;Route du Reposoir 5-7;1260;Nyon
13297;Avenue du Grey 22;1004;Lausanne Secteur de dist.
13298;Route de Daillens 11;1305;Penthalaz
13299;Avenue Général- Guisan 17;1800;Vevey
13300;Rue Côtes-de-Montbenon 30;1003;Lausanne Secteur de dist.
13304;Grand-Places 14;1700;Fribourg
13305;Place Saint-François 5;1003;Lausanne Secteur de dist.
13307;Rue Collet 6;1800;Vevey
13310;Chemin des Plans-Praz 12;1337;Vallorbe
13319;Chemin de Montolivet 19;1006;Lausanne Secteur de dist.
13325;St. Alban-Rheinweg 94;4052;Basel Zustellkreis
13331;Cours des Bastions 15;1205;Genève
