ZAI;INP_ID;INP_NOM_ENT;INP_CHEZ_ENT;INP_RUE_ENT;INP_NPA_ENT;INP_LOC_ENT;INP_CANTON_SIEGE_ENT;INP_PAYS_SIEGE_ENT;INP_FORME_JURIDIQUE_ENT;INP_CODE_FORME_JURIDIQUE_ENT;INP_LANG_ENT;INP_SIEGE_ENT;INP_IDE;REF_IDE;REF_NOM_ENT;REF_CANTONAL_ID;MATCHING_DISTANCES;MATCHING_WEIGHT;;REMARQUE OIPM;RECHERCHE NO IDE  ;ANNONCER à L'IDE;PROBLEMES DIVERS;;
DVT;14952;Fédération vaudoise des Vignerons, section d'Yvorne;c/o M. Claude Isoz;Les Portes-Rouges;1853;Yvorne;VD;CH;association;109;Français;Yvorne;;101779817;Fédération Vaudoise des Vignerons;101644804;0.6274509803921569|1.0;0.875816993;;pas RC;rien trouvé;OUI;;;
DVT;15055;Société Vaudoise des Pêcheurs en rivière;c/o Mme Patricia Nussbaumer;Les Grands-Prés 4;1660;Château-d'Oex;VD;CH;association;109;Français;Château-d'Oex;;103644631;Société Vaudoise des Pêcheurs En Rivière / le Moulinet;101643966;0.7037037037037037|1.0;0.901234568;;pas RC;rien trouvé;OUI;;;
DVT;15075;Club Alpin Suisse, Sous-Section Féminine Val de Joux;c/o Mme M.-Madeleine Widmer;Route du Canal 8;1347;Le Sentier;VD;CH;association;109;Français;L'Orient;;114458417;Club Alpin Suisse CAS Section Val-de-Joux;101542768;0.6730769230769231|1.0;0.891025641;;pas RC;rien trouvé;OUI;;;
DVT;15076;Association Para/Delta Club les Pléiades;;Case postale 68;1807;Blonay;VD;CH;association;109;Français;Blonay;;347437630;Association La Batailles des livres;101441461;0.6|1.0;0.866666667;;pas RC;rien trouvé;OUI;;;
DVT;15079;Société militaire de St-Jaques;c/o M. Luc Magnollay;Ch. Clos-Devant 13;1163;Etoy;VD;CH;association;109;Français;Etoy;;100325276;Société Immobilière des Mousquines;101602454;0.5588235294117647|1.0;0.852941176;;pas RC;rien trouvé;OUI;;;
DVT;15102;Auto-Moto Club;Local;Ancien Hôpital;1530;Payerne;VD;CH;association;109;Français;Payerne;;108232603;Auto-Moto-Club Payerne;101495041;0.5909090909090908|1.0;0.863636364;;pas RC;CHE-108.232.603;NON;;;
DVT;15115;Société de la Science Chrétienne;;Avenue Général- Guisan 61A;1800;Vevey;VD;CH;association;109;Français;Vevey;;101659751;Société de laiterie de Chernex;101582900;0.625|1.0;0.875;;pas RC;rien trouvé;OUI;;;
DVT;15231;Société des Amis Réunis de Montricher;c/o M. Norbert Penel;Rue de Pré Magnin 6;1147;Montricher;VD;CH;association;109;Français;Montricher;;233763324;Société du Musée de Montreux;101613550;0.5675675675675675|1.0;0.855855856;;pas RC;rien trouvé;OUI;;;
DVT;15238;Fédération Suisse des Associations de Planteurs de Tabac;p.a. Secrétatiat SWISSTABAC;Route de Grangeneuve 31;1725;Posieux;VD;CH;association;109;Français;Payerne;;102289562;Fédération Suisse des Organisations d'Elevage Chevalin;101505389;0.5892857142857143|1.0;0.863095238;;pas RC;rien trouvé;OUI;;;
DVT;15266;Société de tir Pistolet Chexbres, Palézieux et environs;c/o M. Claude Duboux;Route de Grandvaux 42;1072;Forel (Lavaux);VD;CH;association;109;Français;Chexbres;;102286457;Société d'agriculture de Payerne et environs;101469375;0.5636363636363637|1.0;0.854545455;;pas RC;rien trouvé;OUI;;;
DVT;15271;Société Vaudoise des Pêcheurs en Rivière Section la Promenthouse;p.a. M. Gaston Zimmermann;Rue du Jura 12;1196;Gland;VD;CH;association;109;Français;Genolier;;103644631;Société Vaudoise des Pêcheurs En Rivière / le Moulinet;101643966;0.6875|1.0;0.895833333;;pas RC;rien trouvé;OUI;;;
DVT;15518;Association du Fonds de la Maison des Bourgeois de Lausanne;p.a. Les Praticiens Associés;Case postale 1042;1001;Lausanne;VD;CH;association;109;Français;Lausanne;;113247467;Association des Amis du Musée des Beaux-Arts de Lausanne;101550161;0.6440677966101696|1.0;0.881355932;;Fin 2007 + pas RC;Néant;NON;;;
DVT;15527;"Société de tir au pistolet ""Giron du Nozon""";c/o M. René Mottier;Ch. du Bochet 2 / CP 38;1195;Bursinel;VD;CH;association;109;Français;Romainm.-Envy;;410035261;Société de musique l'Echo du Nozon;101646823;0.5581395348837209|1.0;0.852713178;;pas RC;rien trouvé;OUI;;;
DVT;15530;Association paroissiale catholique de Notre-Dame;p.a.Fiduciaire François Brandt;Rue de Trévelin 6;1170;Aubonne;VD;CH;association;109;Français;Aubonne;;111740923;Association Immobilière Catholique de Prilly;101668031;0.625|1.0;0.875;;pas RC;rien trouvé;OUI;;;
DVT;15590;Société Vaudoise des Vieux Zofingiens;c/o M. Claudio Rivier;Chemin des Pins 8B;1270;Trélex;VD;CH;association;109;Français;Lausanne;;100241805;Société Vaudoise des Sciences Naturelles;101599918;0.625|1.0;0.875;;pas RC;rien trouvé;OUI;;;
DVT;15601;Association Suisse des Employés de Banque section Vaudoise;c/o Mme Sonia Borgognon;Mont d'Or 34 / C.P. 5472;1002;Lausanne 2 Cases;VD;CH;association;109;Français;Lausanne;;110374514;Association suisse des éditeurs de langue française;101537750;0.6379310344827587|1.0;0.879310345;;Fin 2008 + pas RC;Néant;NON;;;
DVT;15606;Fédération Suisse des Amis de la Nature Section de Lausanne;;Case postale 576;1001;Lausanne;VD;CH;association;109;Français;Lausanne;;302774769;Fédération Suisse des Amis de la Nature;101596250;0.6610169491525424|1.0;0.88700565;;pas RC;rien trouvé;OUI;;;
DVT;15609;"Association ""Réalités sociales""";c/o M. Jean Richard;Rue de la Barre 11;1005;Lausanne Secteur de dist.;VD;CH;association;109;Français;Lausanne;;369617979;"Association ""Les Boréades""";101439663;0.6451612903225806|1.0;0.88172043;;pas RC;rien trouvé;OUI;;;
DVT;15678;Chambre vaudoise d'agriculture;;Avenue des Jordils 1;1006;Lausanne Secteur de dist.;VD;CH;association;109;Français;Lausanne;;105762750;Chambre vaudoise immobilière;101557555;0.7|1.0;0.9;;Fin 1994 + pas RC;Néant;NON;;;
DVT;15681;Association des Anciens élèves des Ecoles Hôtelières;Ecole Hôtelière de Lausanne;Chalet-à-Gobet;1000;Lausanne 25;VD;CH;association;109;Français;Lausanne;;215489757;Association des Amis des Artpenteurs;101630864;0.5576923076923077|1.0;0.852564103;;Fin 2005 + pas RC;Néant;NON;;;
DVT;15692;Cercle Neuchâtelois de Lausanne;c/o Mme Maryse Perret;Av. Parc-de-la-Rouvraie 24;1018;Lausanne;VD;CH;association;109;Français;Lausanne;;104911272;Cercle de l'Opéra de Lausanne;101604354;0.6451612903225806|1.0;0.88172043;;pas RC;rien trouvé;OUI;;;
DVT;15720;Société des Carabiniers de Lausanne;;Case postale 1339;1001;Lausanne;VD;CH;association;109;Français;Lausanne;;268522270;Société de musique L'avant-garde de Lausanne;101555345;0.6136363636363636|1.0;0.871212121;;pas RC;rien trouvé;OUI;;;
DVT;15872;Association pour le déchargement mécanique des betteraves;M. le Président Claude Maulaz;;1124;Gollion;VD;CH;association;109;Français;Penthalaz;;483392828;Association pour le développement des énergies renouvelables;101495671;0.5833333333333333|1.0;0.861111111;;pas RC;rien trouvé;OUI;;;
DVT;16226;Club Alpin Suisse Groupe féminin de la section d'Yverdon;c/o Mme Gabrielle Henrioud;Rue Haute 10;1422;Grandson;VD;CH;association;109;Français;Yverdon-les-B.;;113500258;Club Alpin Suisse CAS Section d'Yverdon;101657527;0.625|1.0;0.875;;pas RC;rien trouvé;OUI;;;
DVT;16319;Société Vaudoise des Pêcheurs en Rivières section de Lausanne;;Chemin du Vieux-Moulin 14;1054;Morrens VD;VD;CH;association;109;Français;Lausanne;;103644631;Société Vaudoise des Pêcheurs En Rivière / le Moulinet;101643966;0.7377049180327868|1.0;0.912568306;;pas RC;rien trouvé;OUI;;;
