N° CTB;Raison sociale;Forme juridique;Siège;Canton siège;Pays siège
2146;Artisans Boulangers-Pâtissiers de Lausanne et environs ;ASS;Pully;VD;
6543;Abbaye de Servion-Ferlens- Essertes ;ASS;Servion;VD;
7601;Syndicat d'élevage bovin de Burtigny ;ASS;Burtigny;VD;
7854;Association du Festival du film de comédie ;ASS;Vevey;VD;
7934;Sogeva  ;ASS;Lausanne;VD;
11490;Université de Lausanne UNIL  ;DP;Lausanne;VD;
12685;Association du Montreux Volley Masters ;ASS;Montreux;VD;
12687;Association suisse des négociants en café ;ASS;Genève;GE;
12688;Association nautique lausannoise '76 ;ASS;Lausanne;VD;
12692;Cercle de Billard de Chamard  ;ASS;Montagny-p-Yv.;VD;
12693;Art Nyon  ;ASS;Nyon;VD;
12697;Association Les Electriciens Romands ;ASS;Lausanne;VD;
12699;Le Foyer L'Epi  ;ASS;Payerne;VD;
12703;Théâtre Synergia  en faillite;ASS;Nyon;VD;
12709;Infa-med  ;ASS;Lausanne;VD;
12716;Institut suisse de prévention de l'alcoolisme et autres toxicomanies ISPA;ASS;Lausanne;VD;
12719;Union Générale Arménienne de Bienfaisance ;ASS;Lausanne;VD;
12745;Family Business Network International ;ASS;Lausanne;VD;
12746;Aéroclub de la Région Lausannoise ;ASS;Lausanne;VD;
12747;Association Jeunesse pour Christ International ;ASS;Nyon;VD;
12748;Comité international pour la dignité de l'enfant CIDE;ASS;Lausanne;VD;
12749;Mouvement des Aînés de Suisse romande en liquidation;ASS;Lausanne;VD;
12858;Les conseillers internationaux en emballage ;ASS;La Tour-de-P.;VD;
12861;Association des Praticiens en Thérapies Naturelles (A.P.T.N.);ASS;Yverdon-les-B.;VD;
12862;Reformiertes Töchterinstitut  en liquidation;ASS;Lucens;VD;
12863;Ciprec Center for Interactive Promotion of Regions & Enterprises in The Community;ASS;Nyon;VD;
12866;Association internationale du drainage lymphatique manuel, original-methode Dr Vodder;ASS;Lausanne;VD;
12868;Société des Hôteliers Montreux Vevey Riviera (SHMV);ASS;Montreux;VD;
12872;Nyon Région Tourisme  ;ASS;Nyon;VD;
12873;Association du Vô-Vietnam  en liquidation;ASS;Yverdon-les-B.;VD;
12874;Paléo Arts et spectacles  ;ASS;Nyon;VD;
12882;La Clef de Sol  ;ASS;Vevey;VD;
12888;Confrérie du Chemin des Oumiaks ;ASS;Château-d'Oex;VD;
12933;Association Sunny  ;ASS;Valbroye;VD;
12960;Guilde internationale du tapis d'Orient ;ASS;Pully;VD;
12997;Association Editions Agora  ;ASS;Lausanne;VD;
13038;Société Européenne de Cardiologie ;ASS;Lausanne;VD;
13049;ASSOCIATION SUISSE DE GOLF (SCHWEIZERISCHER GOLFVERBAND) ;ASS;Epalinges;VD;
13095;ARIB - Association romande d'impregnateurs du bois ;ASS;Morges;VD;
13098;"""Echo"" sté pour le développe- ment des activités culturelles dans la région morgienne";ASS;Morges;VD;
13099;AAS Association des Afghans en Suisse ;ASS;Lausanne;VD;
13100;LA FETE DU CINEMA  ;ASS;Prilly;VD;
13101;Association romande des informaticiens ARI ;ASS;Lausanne;VD;
13103;Association Open Art et Sport  ;ASS;Lausanne;VD;
13104;Union pour des casinos propres ;ASS;Lausanne;VD;
13106;Association pour la recherche médicale des maladies artères en liquidation;ASS;Lausanne;VD;
13109;Le Square-Danses  en liquidation;ASS;Lausanne;VD;
13112;Art club correspondance  ;ASS;Lausanne;VD;
13145;Fédération Internationale des petits frères des Pauvres ;ASS;Rolle;VD;
13147;Association du Golf Club du Domaine Imperial ;ASS;Gland;VD;
13148;Assinsel, Ass. Internationale Sélectionneurs pour Protection des Obtentions Végétales.;ASS;Nyon;VD;
13149;Association suisse des secteurs VéGé en liquidation;ASS;Lausanne;VD;
13152;Ligam  ;ASS;Lausanne;VD;
13153;Groupement de recherche d'en- seignement en homéopathie et en énergétique médicale-Grehem;ASS;Pully;VD;
13161;FEC Fédération européenne de catch ;ASS;Renens VD;VD;
13168;Australian Business Club (ABC) ;ASS;Arzier-L.Muids;VD;
13170;Association des Gourmettes  ;ASS;Lausanne;VD;
13175;Les Amis des rencontres de la Rotonde ;ASS;Lausanne;VD;
13177;ACMRT - Association de la Conférence mondiale sur la Recherche dans les Transports;ASS;Ecublens VD;VD;
13187;Association internationale de catch AIC en liquidation;ASS;Renens VD;VD;
13188;Alter Ego  ;ASS;Bussigny;VD;
13190;Leysin Alpes Festival  ;ASS;Leysin;VD;
13194;ABC - Association de Bureaux de Conseil en Agronomie, Biologie et Environnement;ASS;Oulens-sous-E.;VD;
13224;Association du Service d'Escompte et des Détaillants de Vevey et Environs;ASS;Vevey;VD;
13226;Club International de la Jeunesse ;ASS;Montreux;VD;
13227;Association Tombouctou, 53 jours ;ASS;Tolochenaz;VD;
13228;"""Sanitaire"" Association de grossistes de la branche sanitaire.";ASS;Lausanne;VD;
13229;AGSB  ;ASS;La Tour-de-P.;VD;
13231;Institut kurde de Lausanne  ;ASS;Lausanne;VD;
13233;Institut latinoaméricain d'études transnationales ILET;ASS;Nyon;VD;
13234;Grive Groupement d'intérêts pour dévelop. de l'ens. sup. dans domaine commun. visuelle;ASS;Lausanne;VD;
13235;Universal business park, Lausanne. ;ASS;Lausanne;VD;
13237;Association pour la documentation professionnelles immobilière.;ASS;Lausanne;VD;
13239;Association pour la Recherche Archéologique Alpine en liquidation;ASS;Nyon;VD;
13240;Groupe d'Etudes de l'Art Rupestre en liquidation;ASS;Nyon;VD;
13241;Société des Meuniers de la Suisse Romande ;ASS;Pully;VD;
13244;Ordre Romand des Experts Fiscaux Diplômés (OREF) ;ASS;Sion;VS;
13246;Armedicas  ;ASS;Lausanne;VD;
13247;Idee institut de développement de l'entreprise et de l'encadrement;ASS;Grandson;VD;
