NO_SEQUENCE;DA_EVOLUTION_CAP;CAPITAL_ACTION;CAPITAL_LIBERE;FK_P_FOSCANNEE;FK_P_FOSCNO_ANN;FK_ENTPRNO
1;1988-05-02;250000;250000;1988;114;5537
2;1997-06-24;400000;400000;1997;145;5537
1;1990-02-05;70000;70000;1990;44;8270
1;1963-12-23;250000;250000;;;15346
2;1994-03-04;350000;350000;;;15346
1;1974-07-01;150000;150000;1974;162;16493
1;1993-05-17;100000;100000;;;19289
1;1986-06-23;50000;50000;1986;151;22922
1;1995-03-20;100000;100000;1995;62;23327
1;1997-05-16;20000;20000;1997;104;28791
1;2001-09-21;20000;20000;2001;189;37672
1;2003-10-28;100000;100000;2003;212;41882
1;2004-10-15;20000;20000;2004;210;44077
1;2007-04-30;20000;20000;2007;96;50034
1;2007-11-05;20000;20000;2007;224;51277
1;2007-11-29;100000;100000;2007;240;51477
1;2008-12-11;100000;100000;2008;251;54020
